date,raw_date,P,D,E,CPI,g_div_trailing,g_earn_trailing,g_div_fwd,g_earn_fwd
1886-06-01,1886.06,5.25,0.23,0.3,7.51650281,-0.1786917887433761,0.03390155167568132,0.02150620522096358,0.13976194237515882
1886-07-01,1886.07,5.33,0.2283,0.305,7.611651901,-0.1647940442348228,0.06187540371808753,0.03950706993894593,0.13045288839743518
1886-08-01,1886.08,5.37,0.2267,0.31,7.706792893,-0.1496665089887803,0.09006589064272119,0.057011365828507854,0.12136085700426724
1886-09-01,1886.09,5.51,0.225,0.315,7.706792893,-0.13491931789937062,0.11778303565638337,0.0749013081731178,0.11247798342669024
1886-10-01,1886.1,5.65,0.2233,0.32,7.706792893,-0.11972174329515783,0.14538710900089202,0.09274205169861482,0.10379679368164352
1886-11-01,1886.11,5.79,0.2217,0.325,7.706792893,-0.10319308050966858,0.1732550893957152,0.11008546538647912,0.09531017980432477
1886-12-01,1886.12,5.64,0.22,0.33,7.801941983,-0.08701137698962969,0.2006706954621511,0.12783337150988494,0.08701137698962969
1887-01-01,1887.01,5.58,0.2225,0.3325,7.992232066,-0.06860328249840153,0.18986876242933737,0.10971059090782598,0.056138679384027945
1887-02-01,1887.02,5.54,0.225,0.335,8.087381157,-0.05069311431551804,0.17934092865581674,0.09207262133089089,0.024474168638579874
1887-03-01,1887.03,5.67,0.2275,0.3375,8.087381157,-0.03243527575315386,0.1690763300439342,0.07410797215372189,-0.0074349784875180625
1887-04-01,1887.04,5.8,0.23,0.34,8.087381157,-0.014245870104188985,0.15906469462968764,0.056215940866281455,-0.0399032990031829
1887-05-01,1887.05,5.9,0.2325,0.3425,8.087381157,0.00344679358908051,0.1492963013624602,0.03880706268202627,-0.07327732341423276
1887-06-01,1887.06,5.73,0.235,0.345,7.992232066,0.02150620522096358,0.13976194237515882,0.021053409197832273,-0.10697211955216779
1887-07-01,1887.07,5.59,0.2375,0.3475,7.897091074,0.03950706993894593,0.13045288839743518,0.0033627606300006274,-0.14133151883983142
1887-08-01,1887.08,5.45,0.24,0.35,7.992232066,0.057011365828507854,0.12136085700426724,-0.013845406822053041,-0.17673717850005377
1887-09-01,1887.09,5.38,0.2425,0.3525,7.897091074,0.0749013081731178,0.11247798342669024,-0.03141619623337899,-0.212561441983673
1887-10-01,1887.1,5.2,0.245,0.355,7.992232066,0.09274205169861482,0.10379679368164352,-0.04893303151734263,-0.24918390268253554
